"xCoords","yCoords","width","colorToUse"
"387",1.4,2.8,0.00258643837092218,"#377eb8"
"388",NA,NA,NA,NA
"389",2,2.8,0.00258643837092218,"#377eb8"
"390",1.8,2.8,0.00258643837092218,"#377eb8"
"391",1.6,2.8,0.00258643837092218,"#377eb8"
"392",NA,NA,NA,NA
"393",2,6.4,2.97672619724569,"#ffd300"
"394",2.2,6.4,2.97672619724569,"#ffd300"
"395",2.4,6.4,2.97672619724569,"#ffd300"
"396",NA,NA,NA,NA
"397",3,6.4,2.97672619724569,"#ffd300"
"398",2.8,6.4,2.97672619724569,"#ffd300"
"399",2.6,6.4,2.97672619724569,"#ffd300"
"400",NA,NA,NA,NA
"401",2,6.4,0.0800984673271066,"#e41a1c"
"402",2.2,5.9,0.0800984673271066,"#e41a1c"
"403",2.4,5.9,0.0800984673271066,"#e41a1c"
"404",NA,NA,NA,NA
"405",3,1.9,0.0800984673271066,"#ffd300"
"406",2.8,2.4,0.0800984673271066,"#ffd300"
"407",2.6,2.4,0.0800984673271066,"#ffd300"
"408",NA,NA,NA,NA
"409",2,6.4,0.0473905842887404,"#f781bf"
"410",2.2,6.2,0.0473905842887404,"#f781bf"
"411",2.4,6.2,0.0473905842887404,"#f781bf"
"412",NA,NA,NA,NA
"413",3,4.6,0.0473905842887404,"#ffd300"
"414",2.8,4.8,0.0473905842887404,"#ffd300"
"415",2.6,4.8,0.0473905842887404,"#ffd300"
"416",NA,NA,NA,NA
"417",2,6.4,0.913404355012068,"#AAAAAA"
"418",2.2,5.8,0.913404355012068,"#AAAAAA"
"419",2.4,5.8,0.913404355012068,"#AAAAAA"
"420",NA,NA,NA,NA
"421",3,1,0.913404355012068,"#ffd300"
"422",2.8,1.6,0.913404355012068,"#ffd300"
"423",2.6,1.6,0.913404355012068,"#ffd300"
"424",NA,NA,NA,NA
"425",2,6.4,9.18753106268834,"#4daf4a"
"426",2.2,6.3,9.18753106268834,"#4daf4a"
"427",2.4,6.3,9.18753106268834,"#4daf4a"
"428",NA,NA,NA,NA
"429",3,5.5,9.18753106268834,"#ffd300"
